#,Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,First_pokemon,Second_pokemon,Total Fights,Win Percentage
123,124,Kangaskhan,Normal,,105,95,80,40,80,90,1,False,95,95,126,0.753968253968254
124,125,Mega Kangaskhan,Normal,,105,125,100,60,100,100,1,False,107,107,128,0.8359375
125,126,Horsea,Water,,30,40,70,70,25,60,1,False,55,55,133,0.41353383458646614
126,127,Seadra,Water,,55,65,95,95,45,85,1,False,78,78,118,0.6610169491525424
127,128,Goldeen,Water,,45,67,60,35,50,63,1,False,60,60,117,0.5128205128205128
128,129,Seaking,Water,,80,92,65,65,80,68,1,False,55,55,114,0.4824561403508772
129,130,Staryu,Water,,30,45,55,70,55,85,1,False,80,80,142,0.5633802816901409
130,131,Starmie,Water,Psychic,60,75,85,100,85,115,1,False,116,116,129,0.8992248062015504
131,132,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90,1,False,76,76,136,0.5588235294117647
132,133,Scyther,Bug,Flying,70,110,80,55,80,105,1,False,124,124,141,0.8794326241134752
133,134,Jynx,Ice,Psychic,65,50,35,115,95,95,1,False,99,99,135,0.7333333333333333
134,135,Electabuzz,Electric,,65,83,57,95,85,105,1,False,115,115,129,0.8914728682170543
135,136,Magmar,Fire,,65,95,57,100,85,93,1,False,96,96,129,0.7441860465116279
136,137,Pinsir,Bug,,65,125,100,55,70,85,1,False,81,81,124,0.6532258064516129
137,138,Mega Pinsir,Bug,Flying,65,155,120,65,90,105,1,False,105,105,121,0.8677685950413223
138,139,Tauros,Normal,,75,100,95,40,70,110,1,False,102,102,117,0.8717948717948718
139,140,Magikarp,Water,,20,10,55,15,20,80,1,False,25,25,139,0.17985611510791366
140,141,Gyarados,Water,Flying,95,125,79,60,100,81,1,False,82,82,133,0.6165413533834586
141,142,Mega Gyarados,Water,Dark,95,155,109,70,130,81,1,False,93,93,137,0.6788321167883211
142,143,Lapras,Water,Ice,130,85,80,85,95,60,1,False,61,61,139,0.43884892086330934
144,145,Eevee,Normal,,55,55,50,45,65,55,1,False,37,37,99,0.37373737373737376
145,146,Vaporeon,Water,,130,65,60,110,95,65,1,False,69,69,132,0.5227272727272727
146,147,Jolteon,Electric,,65,65,60,110,95,130,1,False,124,124,134,0.9253731343283582
147,148,Flareon,Fire,,65,130,60,95,110,65,1,False,70,70,132,0.5303030303030303
148,149,Porygon,Normal,,65,60,70,85,75,40,1,False,23,23,128,0.1796875
149,150,Omanyte,Rock,Water,35,40,100,90,55,35,1,False,23,23,128,0.1796875
150,151,Omastar,Rock,Water,70,60,125,115,70,55,1,False,49,49,138,0.35507246376811596
151,152,Kabuto,Rock,Water,30,80,90,55,45,55,1,False,61,61,142,0.4295774647887324
152,153,Kabutops,Rock,Water,60,115,105,65,70,80,1,False,79,79,110,0.7181818181818181
153,154,Aerodactyl,Rock,Flying,80,105,65,60,75,130,1,False,136,136,141,0.9645390070921985
154,155,Mega Aerodactyl,Rock,Flying,80,135,85,70,95,150,1,False,127,127,129,0.9844961240310077
155,156,Snorlax,Normal,,160,110,65,65,110,30,1,False,40,40,112,0.35714285714285715
156,157,Articuno,Ice,Flying,90,85,100,95,125,85,1,True,95,95,139,0.6834532374100719
157,158,Zapdos,Electric,Flying,90,90,85,125,90,100,1,True,93,93,121,0.768595041322314
158,159,Moltres,Fire,Flying,90,100,90,125,85,90,1,True,100,100,136,0.7352941176470589
159,160,Dratini,Dragon,,41,64,45,50,50,50,1,False,43,43,117,0.36752136752136755
160,161,Dragonair,Dragon,,61,84,65,70,70,70,1,False,58,58,116,0.5
161,162,Dragonite,Dragon,Flying,91,134,95,100,100,80,1,False,87,87,138,0.6304347826086957
162,163,Mewtwo,Psychic,,106,110,90,154,90,130,1,True,152,152,164,0.926829268292683
163,164,Mega Mewtwo X,Psychic,Fighting,106,190,100,154,100,130,1,True,125,125,135,0.9259259259259259
164,165,Mega Mewtwo Y,Psychic,,106,150,70,194,120,140,1,True,119,119,125,0.952
165,166,Mew,Psychic,,100,100,100,100,100,100,1,False,94,94,113,0.831858407079646
166,167,Chikorita,Grass,,45,49,65,49,65,45,2,False,33,33,120,0.275
167,168,Bayleef,Grass,,60,62,80,63,80,60,2,False,49,49,113,0.4336283185840708
168,169,Meganium,Grass,,80,82,100,83,100,80,2,False,88,88,129,0.6821705426356589
169,170,Cyndaquil,Fire,,39,52,43,60,50,65,2,False,61,61,121,0.5041322314049587
170,171,Quilava,Fire,,58,64,58,80,65,80,2,False,92,92,151,0.609271523178808
171,172,Typhlosion,Fire,,78,84,78,109,85,100,2,False,100,100,116,0.8620689655172413
172,173,Totodile,Water,,50,65,64,44,48,43,2,False,29,29,132,0.2196969696969697
173,174,Croconaw,Water,,65,80,80,59,63,58,2,False,60,60,136,0.4411764705882353
174,175,Feraligatr,Water,,85,105,100,79,83,78,2,False,81,81,138,0.5869565217391305
175,176,Sentret,Normal,,35,46,34,35,45,20,2,False,9,9,125,0.072
176,177,Furret,Normal,,85,76,64,45,55,90,2,False,93,93,138,0.6739130434782609
177,178,Hoothoot,Normal,Flying,60,30,30,36,56,50,2,False,36,36,111,0.32432432432432434
178,179,Noctowl,Normal,Flying,100,50,50,76,96,70,2,False,68,68,136,0.5
179,180,Ledyba,Bug,Flying,40,20,30,40,80,55,2,False,28,28,123,0.22764227642276422
180,181,Ledian,Bug,Flying,55,35,50,55,110,85,2,False,86,86,137,0.6277372262773723
181,182,Spinarak,Bug,Poison,40,60,40,40,40,30,2,False,13,13,137,0.0948905109489051
183,184,Crobat,Poison,Flying,85,90,80,70,80,130,2,False,113,113,122,0.9262295081967213
184,185,Chinchou,Water,Electric,75,38,38,56,56,67,2,False,60,60,114,0.5263157894736842
185,186,Lanturn,Water,Electric,125,58,58,76,76,67,2,False,66,66,128,0.515625
186,187,Pichu,Electric,,20,40,15,35,35,60,2,False,36,36,105,0.34285714285714286
187,188,Cleffa,Fairy,,50,25,28,45,55,15,2,False,7,7,112,0.0625
188,189,Igglybuff,Normal,Fairy,90,30,15,40,20,15,2,False,5,5,115,0.043478260869565216
189,190,Togepi,Fairy,,35,20,65,40,65,20,2,False,3,3,122,0.02459016393442623
190,191,Togetic,Fairy,Flying,55,40,85,80,105,40,2,False,30,30,127,0.23622047244094488
191,192,Natu,Psychic,Flying,40,50,45,70,45,70,2,False,64,64,116,0.5517241379310345
192,193,Xatu,Psychic,Flying,65,75,70,95,70,95,2,False,88,88,121,0.7272727272727273
193,194,Mareep,Electric,,55,40,40,65,45,35,2,False,23,23,140,0.16428571428571428
194,195,Flaaffy,Electric,,70,55,55,80,60,45,2,False,24,24,108,0.2222222222222222
195,196,Ampharos,Electric,,90,75,85,115,90,55,2,False,41,41,119,0.3445378151260504
196,197,Mega Ampharos,Electric,Dragon,90,95,105,165,110,45,2,False,37,37,128,0.2890625
197,198,Bellossom,Grass,,75,80,95,90,100,50,2,False,30,30,139,0.2158273381294964
198,199,Marill,Water,Fairy,70,20,50,20,50,40,2,False,19,19,122,0.1557377049180328
199,200,Azumarill,Water,Fairy,100,50,80,60,80,50,2,False,44,44,128,0.34375
200,201,Sudowoodo,Rock,,70,100,115,30,65,30,2,False,30,30,123,0.24390243902439024
201,202,Politoed,Water,,90,75,75,90,100,70,2,False,65,65,119,0.5462184873949579
202,203,Hoppip,Grass,Flying,35,35,40,35,55,50,2,False,48,48,119,0.40336134453781514
203,204,Skiploom,Grass,Flying,55,45,50,45,65,80,2,False,66,66,119,0.5546218487394958
204,205,Jumpluff,Grass,Flying,75,55,70,55,95,110,2,False,114,114,135,0.8444444444444444
205,206,Aipom,Normal,,55,70,55,40,55,85,2,False,87,87,123,0.7073170731707317
206,207,Sunkern,Grass,,30,30,30,30,30,30,2,False,14,14,111,0.12612612612612611
207,208,Sunflora,Grass,,75,75,55,105,85,30,2,False,23,23,142,0.1619718309859155
208,209,Yanma,Bug,Flying,65,65,45,75,45,95,2,False,90,90,125,0.72
209,210,Wooper,Water,Ground,55,45,45,25,25,15,2,False,6,6,125,0.048
210,211,Quagsire,Water,Ground,95,85,85,65,65,35,2,False,36,36,140,0.2571428571428571
211,212,Espeon,Psychic,,65,65,60,130,95,110,2,False,117,117,142,0.823943661971831
212,213,Umbreon,Dark,,95,65,110,60,130,65,2,False,67,67,127,0.5275590551181102
213,214,Murkrow,Dark,Flying,60,85,42,85,42,91,2,False,130,130,158,0.8227848101265823
214,215,Slowking,Water,Psychic,95,75,80,100,110,30,2,False,32,32,132,0.24242424242424243
215,216,Misdreavus,Ghost,,60,60,60,85,85,85,2,False,84,84,133,0.631578947368421
216,217,Unown,Psychic,,48,72,48,72,48,48,2,False,33,33,127,0.25984251968503935
217,218,Wobbuffet,Psychic,,190,33,58,33,58,33,2,False,18,18,134,0.13432835820895522
218,219,Girafarig,Normal,Psychic,70,80,65,90,65,85,2,False,74,74,128,0.578125
219,220,Pineco,Bug,,50,65,90,35,35,15,2,False,16,16,109,0.14678899082568808
220,221,Forretress,Bug,Steel,75,90,140,60,60,40,2,False,37,37,123,0.3008130081300813
221,222,Dunsparce,Normal,,100,70,70,65,65,45,2,False,26,26,137,0.1897810218978102
222,223,Gligar,Ground,Flying,65,75,105,35,65,85,2,False,93,93,134,0.6940298507462687
223,224,Steelix,Steel,Ground,75,85,200,55,65,30,2,False,25,25,149,0.16778523489932887
224,225,Mega Steelix,Steel,Ground,75,125,230,55,95,30,2,False,50,50,145,0.3448275862068966
225,226,Snubbull,Fairy,,60,80,50,40,40,30,2,False,21,21,137,0.15328467153284672
226,227,Granbull,Fairy,,90,120,75,60,60,45,2,False,35,35,119,0.29411764705882354
227,228,Qwilfish,Water,Poison,65,95,75,55,55,85,2,False,104,104,150,0.6933333333333334
228,229,Scizor,Bug,Steel,70,130,100,55,80,65,2,False,76,76,125,0.608
229,230,Mega Scizor,Bug,Steel,70,150,140,65,100,75,2,False,77,77,140,0.55
231,232,Heracross,Bug,Fighting,80,125,75,40,95,85,2,False,94,94,136,0.6911764705882353
232,233,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,2,False,81,81,130,0.6230769230769231
233,234,Sneasel,Dark,Ice,55,95,55,35,75,115,2,False,106,106,113,0.9380530973451328
234,235,Teddiursa,Normal,,60,80,50,50,50,40,2,False,26,26,109,0.23853211009174313
236,237,Slugma,Fire,,40,40,40,70,40,20,2,False,4,4,123,0.032520325203252036
237,238,Magcargo,Fire,Rock,50,50,120,80,80,30,2,False,9,9,124,0.07258064516129033
238,239,Swinub,Ice,Ground,50,50,40,30,30,50,2,False,37,37,133,0.2781954887218045
239,240,Piloswine,Ice,Ground,100,100,80,60,60,50,2,False,36,36,118,0.3050847457627119
240,241,Corsola,Water,Rock,55,55,85,65,85,35,2,False,28,28,139,0.2014388489208633
241,242,Remoraid,Water,,35,65,35,65,35,65,2,False,69,69,148,0.46621621621621623
242,243,Octillery,Water,,75,105,75,105,75,45,2,False,37,37,113,0.3274336283185841
243,244,Delibird,Ice,Flying,45,55,45,65,45,75,2,False,74,74,130,0.5692307692307692
244,245,Mantine,Water,Flying,65,40,70,80,140,70,2,False,78,78,131,0.5954198473282443
245,246,Skarmory,Steel,Flying,65,80,140,40,70,70,2,False,70,70,134,0.5223880597014925
246,247,Houndour,Dark,Fire,45,60,30,80,50,65,2,False,58,58,126,0.4603174603174603
247,248,Houndoom,Dark,Fire,75,90,50,110,80,95,2,False,111,111,139,0.7985611510791367
248,249,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,2,False,128,128,135,0.9481481481481482
249,250,Kingdra,Water,Dragon,75,95,95,95,95,85,2,False,88,88,136,0.6470588235294118
250,251,Phanpy,Ground,,90,60,60,40,40,40,2,False,39,39,132,0.29545454545454547
251,252,Donphan,Ground,,90,120,120,60,60,50,2,False,48,48,136,0.35294117647058826
252,253,Porygon2,Normal,,85,80,90,105,95,60,2,False,53,53,108,0.49074074074074076
253,254,Stantler,Normal,,73,95,62,85,65,85,2,False,90,90,135,0.6666666666666666
254,255,Smeargle,Normal,,55,20,35,20,45,75,2,False,52,52,138,0.37681159420289856
255,256,Tyrogue,Fighting,,35,35,35,35,35,35,2,False,17,17,127,0.13385826771653545
256,257,Hitmontop,Fighting,,50,95,95,35,110,70,2,False,72,72,139,0.5179856115107914
257,258,Smoochum,Ice,Psychic,45,30,15,85,65,65,2,False,46,46,127,0.36220472440944884
258,259,Elekid,Electric,,45,63,37,65,55,95,2,False,116,116,144,0.8055555555555556
259,260,Magby,Fire,,45,75,37,70,55,83,2,False,81,81,131,0.6183206106870229
260,261,Miltank,Normal,,95,80,105,40,70,100,2,False,103,103,128,0.8046875
261,262,Blissey,Normal,,255,10,10,75,135,55,2,False,40,40,128,0.3125
262,263,Raikou,Electric,,90,85,75,115,100,115,2,True,91,91,97,0.9381443298969072
263,264,Entei,Fire,,115,115,85,90,75,100,2,True,109,109,134,0.8134328358208955
264,265,Suicune,Water,,100,75,115,90,115,85,2,True,78,78,121,0.6446280991735537
265,266,Larvitar,Rock,Ground,50,64,50,45,50,41,2,False,25,25,110,0.22727272727272727
266,267,Pupitar,Rock,Ground,70,84,70,65,70,51,2,False,41,41,139,0.2949640287769784
267,268,Tyranitar,Rock,Dark,100,134,110,95,100,61,2,False,56,56,138,0.4057971014492754
268,269,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,2,False,70,70,124,0.5645161290322581
269,270,Lugia,Psychic,Flying,106,90,130,90,154,110,2,True,107,107,123,0.8699186991869918
270,271,Ho-oh,Fire,Flying,106,130,90,110,154,90,2,True,77,77,107,0.719626168224299
271,272,Celebi,Psychic,Grass,100,100,100,100,100,100,2,False,111,111,133,0.8345864661654135
272,273,Treecko,Grass,,40,45,35,65,55,70,3,False,52,52,116,0.4482758620689655
273,274,Grovyle,Grass,,50,65,45,85,65,95,3,False,76,76,105,0.7238095238095238
274,275,Sceptile,Grass,,70,85,65,105,85,120,3,False,113,113,122,0.9262295081967213
275,276,Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,3,False,119,119,126,0.9444444444444444
276,277,Torchic,Fire,,45,60,40,70,50,45,3,False,39,39,137,0.2846715328467153
277,278,Combusken,Fire,Fighting,60,85,60,85,60,55,3,False,54,54,147,0.3673469387755102
278,279,Blaziken,Fire,Fighting,80,120,70,110,70,80,3,False,79,79,123,0.6422764227642277
279,280,Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,3,False,104,104,123,0.8455284552845529
280,281,Mudkip,Water,,50,70,50,50,50,40,3,False,22,22,135,0.16296296296296298
281,282,Marshtomp,Water,Ground,70,85,70,60,70,50,3,False,42,42,148,0.28378378378378377
282,283,Swampert,Water,Ground,100,110,90,85,90,60,3,False,65,65,136,0.47794117647058826
283,284,Mega Swampert,Water,Ground,100,150,110,95,110,70,3,False,77,77,130,0.5923076923076923
284,285,Poochyena,Dark,,35,55,35,30,30,35,3,False,27,27,114,0.23684210526315788
285,286,Mightyena,Dark,,70,90,70,60,60,70,3,False,85,85,133,0.6390977443609023
286,287,Zigzagoon,Normal,,38,30,41,30,41,60,3,False,31,31,107,0.2897196261682243
287,288,Linoone,Normal,,78,70,61,50,61,100,3,False,101,101,124,0.8145161290322581
288,289,Wurmple,Bug,,45,45,35,20,30,20,3,False,10,10,138,0.07246376811594203
289,290,Silcoon,Bug,,50,35,55,25,25,15,3,False,3,3,138,0.021739130434782608
290,291,Beautifly,Bug,Flying,60,70,50,100,50,65,3,False,72,72,138,0.5217391304347826
291,292,Cascoon,Bug,,50,35,55,25,25,15,3,False,7,7,133,0.05263157894736842
292,293,Dustox,Bug,Poison,60,50,70,50,90,65,3,False,55,55,139,0.39568345323741005
293,294,Lotad,Water,Grass,40,30,30,40,50,30,3,False,10,10,126,0.07936507936507936
294,295,Lombre,Water,Grass,60,50,50,60,70,50,3,False,36,36,127,0.28346456692913385
295,296,Ludicolo,Water,Grass,80,70,70,90,100,70,3,False,69,69,123,0.5609756097560976
296,297,Seedot,Grass,,40,40,50,30,30,30,3,False,11,11,126,0.0873015873015873
297,298,Nuzleaf,Grass,Dark,70,70,40,60,40,60,3,False,48,48,113,0.4247787610619469
298,299,Shiftry,Grass,Dark,90,100,60,90,60,80,3,False,79,79,123,0.6422764227642277
299,300,Taillow,Normal,Flying,40,55,30,30,30,85,3,False,86,86,125,0.688
300,301,Swellow,Normal,Flying,60,85,60,50,50,125,3,False,110,110,121,0.9090909090909091
301,302,Wingull,Water,Flying,40,30,30,55,30,85,3,False,56,56,120,0.4666666666666667
302,303,Pelipper,Water,Flying,60,50,100,85,70,65,3,False,59,59,124,0.47580645161290325
303,304,Ralts,Psychic,Fairy,28,25,25,45,35,40,3,False,23,23,143,0.16083916083916083
